bits;1;2;4;8;16;32
1;9.79025;19.4708;35.0766;63.7932;53.5845;58.7329;
2;9.6613;19.2716;26.2079;62.5678;57.1748;58.4412;
3;9.946;19.2286;36.957;35.8069;55.9444;46.505;
4;9.50534;18.9462;36.6198;45.7649;58.181;55.7469;
5;9.63728;19.2003;35.0042;61.1042;58.4191;60.6873;
6;9.23408;19.3411;33.3217;32.4063;59.7359;53.3198;
7;9.79662;18.4715;35.6683;62.1251;57.0065;55.255;
8;9.94415;18.9568;34.2572;37.527;56.1177;56.8557;
9;9.62236;15.2111;36.19;62.2738;58.8066;57.8192;
10;9.9075;19.2481;35.5627;61.2408;58.5272;55.3873;
11;9.95452;19.6112;35.8076;32.3124;50.7285;51.9764;
12;9.23634;19.3552;33.0151;34.9372;51.1402;40.0463;
13;9.7543;19.187;22.7784;35.4672;42.4751;31.3328;
14;9.769;18.0598;30.6234;35.2828;29.5988;18.1681;
15;9.4587;17.3132;25.8104;25.6116;17.3045;9.74177;
16;8.76175;15.1136;17.9467;14.9498;8.85702;4.5771;
17;8.66277;12.7238;11.8751;8.40243;4.47993;2.33295;
18;7.79086;9.63326;7.57824;4.42306;2.23726;1.1347;
