Threads;Hash_Bits;Running Time (ms)
1;1;173
2;1;331
4;1;448
8;1;666
1;2;307
2;2;395
4;2;445
8;2;453
1;3;344
2;3;319
4;3;301
8;3;268
1;4;290
2;4;249
4;4;230
8;4;210
1;5;325
2;5;249
4;5;186
8;5;142
1;6;276
2;6;243
4;6;151
8;6;112
1;7;260
2;7;186
4;7;144
8;7;95
1;8;247
2;8;234
4;8;139
8;8;90
1;9;262
2;9;213
4;9;133
8;9;80
1;10;277
2;10;208
4;10;117
8;10;72
1;11;263
2;11;207
4;11;136
8;11;84
1;12;293
2;12;204
4;12;143
8;12;86
1;13;339
2;13;230
4;13;138
8;13;86
1;14;364
2;14;233
4;14;136
8;14;91
1;15;475
2;15;293
4;15;166
8;15;98
1;16;503
2;16;304
4;16;228
8;16;108
1;17;650
2;17;507
4;17;242
8;17;132
1;18;969
2;18;646
4;18;326
8;18;227
1;19;1260
2;19;732
4;19;433
8;19;305
1;20;1245
2;20;805
4;20;468
8;20;324
1;21;1237
2;21;918
4;21;550
8;21;317
1;22;1165
2;22;731
4;22;453
8;22;273
1;23;1106
2;23;771
4;23;432
8;23;296
1;24;1072
2;24;773
4;24;424
8;24;260
1;25;1155
2;25;812
4;25;460
8;25;254
1;26;1218
2;26;808
4;26;474
8;26;261
