 ; 1; 2; 4; 8; 16; 32
1; 0.13636; 0.0762239; 0.0368753; 0.029232; 0.0230277; 0.0191113; 
2; 0.124796; 0.0708828; 0.0432283; 0.0296607; 0.0241766; 0.0147911; 
3; 0.152162; 0.0722744; 0.0521655; 0.0278215; 0.0208151; 0.020009; 
4; 0.130397; 0.0852313; 0.0474162; 0.032393; 0.0212741; 0.020955; 
5; 0.151932; 0.0901302; 0.05795; 0.0306979; 0.0209227; 0.0129601; 
6; 0.141648; 0.0720567; 0.0464931; 0.0297301; 0.0214799; 0.0201651; 
7; 0.196239; 0.0983181; 0.0509687; 0.0278511; 0.0243337; 0.0145949; 
8; 0.160357; 0.067318; 0.0542155; 0.0291945; 0.0162295; 0.0059931; 
9; 0.208442; 0.0893434; 0.039611; 0.0430103; 0.0166507; 0.0074785; 
10; 0.166573; 0.091232; 0.0567508; 0.0277514; 0.0165151; 0.0099683; 
11; 0.124693; 0.0744672; 0.0391286; 0.0243631; 0.017163; 0.0074603; 
12; 0.17266; 0.0948883; 0.0563058; 0.0224457; 0.0108721; 0.0062742; 
13; 0.169894; 0.0752483; 0.045459; 0.0217916; 0.0195641; 0.0043763; 
14; 0.16288; 0.0674428; 0.03677; 0.0183954; 0.0071348; 0.0038233; 
15; 0.196653; 0.0958421; 0.0325784; 0.0147191; 0.0071853; 0.0049358; 
16; 0.121563; 0.064136; 0.0291448; 0.0211184; 0.0092347; 0.0042305; 
17; 0.147079; 0.0719625; 0.0291646; 0.0151591; 0.0084118; 0.0040347; 
18; 0.157685; 0.0614287; 0.0274806; 0.0167155; 0.0090964; 0.0041447; 
