epoch;step;loss_value;timestamp
0;1;6.355938911437988;2023-04-30 16:07:56
0;101;4.638497829437256;2023-04-30 16:09:18
0;201;4.128835201263428;2023-04-30 16:10:37
0;301;3.980623483657837;2023-04-30 16:11:56
1;1;4.130690574645996;2023-04-30 16:12:37
1;101;3.9848480224609375;2023-04-30 16:13:55
1;201;3.8005385398864746;2023-04-30 16:15:14
1;301;3.750499725341797;2023-04-30 16:16:35
2;1;3.7890684604644775;2023-04-30 16:17:16
2;101;3.48097825050354;2023-04-30 16:18:35
2;201;3.4812512397766113;2023-04-30 16:19:54
2;301;3.531681776046753;2023-04-30 16:21:12
3;1;3.4876255989074707;2023-04-30 16:21:53
3;101;3.371433973312378;2023-04-30 16:23:14
3;201;3.2851061820983887;2023-04-30 16:24:33
3;301;3.3691024780273438;2023-04-30 16:25:51
4;1;3.34557843208313;2023-04-30 16:26:33
4;101;3.0820682048797607;2023-04-30 16:27:53
4;201;3.102480411529541;2023-04-30 16:29:13
4;301;3.072165012359619;2023-04-30 16:30:32
5;1;3.0219969749450684;2023-04-30 16:31:14
5;101;3.0435500144958496;2023-04-30 16:32:34
5;201;2.975684642791748;2023-04-30 16:33:54
5;301;2.9521379470825195;2023-04-30 16:35:14
6;1;2.8765106201171875;2023-04-30 16:35:55
6;101;2.7211241722106934;2023-04-30 16:37:15
6;201;2.625044345855713;2023-04-30 16:38:34
6;301;2.757007122039795;2023-04-30 16:39:54
7;1;2.725069046020508;2023-04-30 16:40:35
7;101;2.7844369411468506;2023-04-30 16:41:55
7;201;2.461324691772461;2023-04-30 16:43:15
7;301;2.3756914138793945;2023-04-30 16:44:34
8;1;2.4254536628723145;2023-04-30 16:45:15
8;101;2.667250156402588;2023-04-30 16:46:35
8;201;2.1839451789855957;2023-04-30 16:47:54
8;301;2.187096118927002;2023-04-30 16:49:13
9;1;2.1473336219787598;2023-04-30 16:49:54
9;101;2.3573505878448486;2023-04-30 16:51:13
9;201;1.7812023162841797;2023-04-30 16:52:33
9;301;1.893113136291504;2023-04-30 16:53:52
